================================================================================
MISMATCH QUERY REMOVAL REPORT
Generated: 2025-12-30 18:05:20
================================================================================

SUMMARY
----------------------------------------
Total test queries removed:  1238
Total train queries removed: 1151
Test queries remaining:      10148
Train queries remaining:     77465
Unique tags affected:        260

REMOVAL COUNTS BY TAG
--------------------------------------------------------------------------------
#     Tag Name                                           Test       Train      Total     
--------------------------------------------------------------------------------
1     persent_address_correction_procedure               49         39         88        
2     irrelevant                                         34         30         64        
3     new_voter_apply_online_what_documents_needed       20         19         39        
4     smart_card_fee                                     18         18         36        
5     goodbye                                            17         16         33        
6     photo_done_years_ago_but_no_card                   16         16         32        
7     smart_card_ai_facial_recognition                   16         15         31        
8     husband_name_previous_card                         15         13         28        
9     foreign_resident_card_registration_query_country.. 15         12         27        
10    voter_slip_lost_how_to_get_nid                     13         13         26        
11    card_information_correction                        13         13         26        
12    correction_application_current_status              14         12         26        
13    bribery_complaint_procedure                        15         11         26        
14    election_office_harassment_complaint               15         10         25        
15    together_present_and_permanent_address_change      13         11         24        
16    closing_statement                                  12         12         24        
17    no_husband_name_in_smart_card                      12         11         23        
18    parent_no_card_failed_to_be_voter                  12         11         23        
19    wish_to_create_nid_smart_card_new                  11         11         22        
20    correction_application_status                      12         10         22        
21    online_application_pending                         11         11         22        
22    present_permanent_address_change_together          12         10         22        
23    reissue_card_collection_from_office                11         11         22        
24    card_correction_request_failed_query_regarding_r.. 11         10         21        
25    correction_wrong_nid_payment_no_refund             11         10         21        
26    reissue_sms_card_download_location                 11         10         21        
27    nid_information_misentry_correction_procedure      10         10         20        
28    migration_fee_dispute_clarification                10         10         20        
29    eight_hours_time_up                                9          10         19        
30    present_address_wrong_type_corrected               10         9          19        
31    smart_card_lost_reissue                            9          9          18        
32    card_correction_request_failed_query_regarding_r.. 9          9          18        
33    address_change_card_download_process               9          9          18        
34    foreign_resident_card_registration_required_docu.. 9          9          18        
35    fingerprint_error_info_not_found                   9          9          18        
36    address_change_no_permanent_documents              9          9          18        
37    correct_documents_rejection_query                  9          9          18        
